id,name,latitude,longitude
2626,Telêmaco Borba Airport,-24.317800521850582,-50.6515998840332
2627,Tiriós Airport,2.22347,-55.946098
2628,Tabatinga Airport,-4.2556700706482,-69.93579864502
2629,Tucuruí Airport,-3.7860100269318,-49.72029876709
2630,São Gabriel da Cachoeira Airport,-0.14835,-66.9855
2631,Paulo Afonso Airport,-9.4008798599243,-38.250598907471
2632,Rubem Berta Airport,-29.7821998596,-57.0382003784
2633,Ten. Cel. Aviador César Bombonato Airport,-18.883612,-48.225277
2635,Mário de Almeida Franco Airport,-19.764722824097,-47.966110229492
2636,Major Brigadeiro Trompowsky Airport,-21.5900993347,-45.4733009338
2637,Brigadeiro Camarão Airport,-12.694399833679,-60.098300933838
2638,Eurico de Aguiar Salles Airport,-20.258057,-40.286388
2639,Iauaretê Airport,0.6075000166893,-69.18579864502
2640,Campo Fontenelle Airport,-21.984600067138672,-47.33480072021485
2641,Chacalluta Airport,-18.348499,-70.338699
2642,Balmaceda Airport,-45.91609954833984,-71.68949890136719
2643,El Bosque Airport,-33.561798095703125,-70.68840026855469
2644,Chile Chico Airport,-46.58330154418945,-71.6874008178711
2645,El Loa Airport,-22.498199462890625,-68.90360260009766
2646,Gral. Bernardo O´Higgins Airport,-36.58250045776367,-72.03140258789062
2647,Pdte. Carlos Ibañez del Campo Airport,-53.002602,-70.854599
2648,Teniente Vidal Airport,-45.594200134277344,-72.1061019897461
2649,Diego Aracena Airport,-20.535200119018555,-70.1812973022461
2650,Comodoro Arturo Merino Benítez International Airport,-33.393001556396484,-70.78579711914062
2651,Andrés Sabella Gálvez International Airport,-23.444501,-70.445099
2652,Capitan Fuentes Martinez Airport Airport,-53.253700256347656,-70.31919860839844
2653,Futaleufú Airport,-43.18920135498047,-71.8510971069336
2654,María Dolores Airport,-37.40169906616211,-72.42539978027344
2655,Guardiamarina Zañartu Airport,-54.93109893798828,-67.62629699707031
2656,Carriel Sur Airport,-36.772701,-73.063103
2657,Mataveri Airport,-27.1648006439,-109.42199707
2658,Cañal Bajo Carlos - Hott Siebert Airport,-40.61119842529297,-73.06099700927734
2659,Vallenar Airport,-28.596399307250977,-70.75599670410156
2660,De La Independencia Airport,-34.17369842529297,-70.77570343017578
2662,La Florida Airport,-29.916201,-71.199501
2663,Eulogio Sánchez Airport,-33.456298828125,-70.54669952392578
2664,Maquehue Airport,-38.766799926758,-72.637100219727
2665,El Tepual Airport,-41.43889999389648,-73.09400177001953
2666,Chaitén Airport,-42.93280029296875,-72.6990966796875
2667,Pichoy Airport,-39.6500015259,-73.0860977173
2668,Chachoán Airport,-1.2120699882507324,-78.57460021972656
2669,Hacienda Clementina Airport,-1.7062699794769287,-79.37889862060547
2670,Francisco De Orellana Airport,-0.4628860056400299,-76.98680114746094
2671,Mariscal Lamar Airport,-2.88947,-78.984398
2672,Seymour Airport,-0.4537580013275146,-90.26589965820312
2673,José Joaquín de Olmedo International Airport,-2.15741991997,-79.88359832760001
2674,Gualaquiza Airport,-3.4232099056243896,-78.56700134277344
2675,Atahualpa Airport,0.3384189903736114,-78.13639831542969
2676,Km 192 Airport,0.1842029988765716,-79.39199829101562
2677,Hacienda La Julia Airport,-1.7043800354003906,-79.55229949951172
2678,Cotopaxi International Airport,-0.906833,-78.615799
2679,Jose Maria Velasco Ibarra Airport,-4.37823009491,-79.94100189210002
2680,Coronel E Carvajal Airport,-2.299170017242432,-78.12079620361328
2681,General Manuel Serrano Airport,-3.2689,-79.961601
2682,El Carmen Airport,-2.067009925842285,-76.97570037841797
2683,Eloy Alfaro International Airport,-0.9460780024528505,-80.67880249023438
2684,Maragrosa Airport,-2.851099967956543,-79.80359649658203
2685,Amable Calle Gutierrez Airport,-3.3196699619293213,-79.76920318603516
2686,Reales Tamarindos Airport,-1.0416500568389893,-80.47219848632812
2687,Quevedo Airport,-0.989400029182434,-79.46510314941406
2688,Mariscal Sucre International Airport,-0.129166666667,-78.3575
2689,Chimborazo Airport,-1.6534299850463867,-78.65609741210938
2690,Santa Rosa International Airport,-3.441986,-79.996957
2691,General Ulpiano Paez Airport,-2.20499,-80.988899
